Xshare,Lm
0.000666291956151446,0.190620702757543
0.00732133495696234,0.195660475683682
0.0139620892223259,0.200733803432871
0.0205886007254368,0.20584102228895
0.0272009152248082,0.21098247295157
0.0337990783090958,0.216158500782385
0.0403831353552591,0.221369455752163
0.046953131550198,0.226615692582799
0.0535091118882745,0.231897570816368
0.0600511211721008,0.237215454896842
0.0665792040140035,0.242569714255166
0.0730934048357311,0.247960723391171
0.0795937678716492,0.253388861966953
0.0860803371672956,0.258854514888896
0.0925531565814503,0.264358072402584
0.0990122697877251,0.26989993018704
0.105457720273786,0.275480489444708
0.11188955134475,0.281100157004042
0.11830780612114,0.286759345411326
0.124712527544632,0.292458473042964
0.130465241126222,0.297622186460462
