m_match,openness,X_Y,L_m,L_s,e_m,e_s,u_m,u_s,u,exitflag_z0,exitflag_zT
1,0.01,0.0273989217185609,0.188528010300567,0.751471989699433,0.173827252703548,0.687789581711266,0.0147007575970189,0.0636824079881672,0.0783831655851861,1,1
1,0.02,0.0531454259909032,0.206397296863147,0.733602703136853,0.190609508994644,0.67293235849328,0.0157877878685027,0.0606703446435731,0.0764581325120758,1,1
1,0.03,0.0773858873232696,0.22376941001375,0.71623058998625,0.206951991504409,0.658300827216672,0.0168174185093413,0.0579297627695778,0.0747471812789191,1,1
1,0.04,0.100249891677936,0.240664975294912,0.699335024705088,0.222869251911017,0.643914665721396,0.0177957233838952,0.0554203589836916,0.0732160823675868,1,1
1,0.05,0.12185254300158,0.257103710627963,0.682896289372037,0.238375907724666,0.629786473197178,0.0187278029032971,0.0531098161748598,0.0718376190781569,1,1
1,0.06,0.142296413794541,0.273104385709864,0.666895614290136,0.253486402059925,0.615923734591084,0.019617983649939,0.0509718796990515,0.0705898633489906,1,1
1,0.07,0.161673196956686,0.288684823394559,0.651315176605441,0.268214853577311,0.602330206809981,0.0204699698172485,0.0489849697954595,0.069454939612708,1,1
1,0.08,0.180065107790628,0.303861924294645,0.636138075705355,0.282574964759552,0.58900691315925,0.0212869595350928,0.047131162546105,0.0684181220811978,1,1
1,0.09,0.197546077343981,0.318651704023996,0.621348295976004,0.296579968719704,0.575952866736887,0.0220717353042915,0.0453954292391168,0.0674671645434084,1,1
1,0.1,0.214182771399755,0.3330693367887,0.6069306632113,0.31024260169159,0.563165602948773,0.0228267350971097,0.0437650602625278,0.0665917953596375,1,1
1,0.11,0.230035463492121,0.347129201504831,0.592870798495169,0.323575092664376,0.550641575529783,0.023554108840455,0.0422292229653854,0.0657833318058404,1,1
1,0.12,0.245158785411312,0.360844928172873,0.579155071827127,0.336589164449856,0.53837645359444,0.0242557637230166,0.0407786182326873,0.0650343819557039,1,1
1,0.13,0.259602374563536,0.374229443128612,0.565770556871388,0.349296042264042,0.526365346076827,0.0249334008645698,0.0394052107945604,0.0643386116591303,1,1
1,0.14,0.273411434225318,0.387295012419363,0.552704987580637,0.361706467175386,0.514602972285534,0.0255885452439774,0.0381020152951023,0.0636905605390796,1,1
1,0.15,0.28662721998686,0.400053282894112,0.539946717105888,0.373830712577453,0.503083792093022,0.0262225703166589,0.036862925012866,0.0630854953295249,1,1
100,0.01,0.0278518659911684,0.206394019329994,0.733605980670005,0.206230028155048,0.732954736392976,0.000163991174946099,0.000651244277029915,0.000815235451976014,1,1
100,0.02,0.0539385183103766,0.22530632034935,0.71469367965065,0.225130212233841,0.714070965041777,0.000176108115508696,0.000622714608873619,0.000798822724382315,1,1
100,0.03,0.0784226304663281,0.243628792443868,0.696371207556132,0.243441184822477,0.6957746516836,0.000187607621391562,0.000596555872531977,0.000784163493923539,1,1
100,0.04,0.101447482448099,0.26138860874353,0.67861139125647,0.261190056780901,0.678038961903867,0.000198551962629108,0.000572429352602905,0.000770981315232013,1,1
100,0.05,0.123139767135505,0.278611299189814,0.661388700810186,0.27840230574327,0.66083863826369,0.000208993446544071,0.000550062546495461,0.000759055993039532,1,1
100,0.06,0.143611923123924,0.295320872504004,0.644679127495996,0.29510189596852,0.644149894222125,0.000218976535483489,0.000529233273871824,0.000748209809355313,1,1
100,0.07,0.162964084630351,0.311539927597371,0.628460072402629,0.31131138817405,0.627950314186642,0.000228539423321464,0.000509758215986506,0.00073829763930797,1,1
100,0.08,0.181285719846469,0.327289755420235,0.612710244579765,0.327052040191537,0.612218760083314,0.000237715228697775,0.000491484496451127,0.000729199725148902,1,1
100,0.09,0.198657014302705,0.3425904321618,0.5974095678382,0.34234389924999,0.596935284444465,0.000246532911809785,0.000474283393735395,0.00072081630554518,1,1
100,0.1,0.215150044370067,0.35746090462641,0.58253909537359,0.357205886637949,0.582081049797907,0.00025501798846121,0.000458045575683036,0.000713063564144246,1,1
100,0.11,0.23082977712555,0.371919068529701,0.568080931470299,0.371655875436542,0.567638254031343,0.000263193093158797,0.0004426774389555,0.000705870532114297,1,1
100,0.12,0.245754925833358,0.385981840383152,0.554018159616848,0.385710761954894,0.553590061354054,0.000271078428258156,0.000428098262794207,0.000699176691052363,1,1
100,0.13,0.259978684794622,0.399665223566372,0.540334776433627,0.399386531440377,0.539920538462413,0.000278692125995885,0.000414237971214242,0.000692930097210127,1,1
100,0.14,0.273549362955435,0.412984369125334,0.527015630874666,0.412698318582189,0.526614595519134,0.000286050543144774,0.000401035355532728,0.000687085898677502,1,1
100,0.15,0.286510932181093,0.425953631779296,0.514046368220704,0.425660463276302,0.51365793157149,0.000293168502993227,0.000388436649214712,0.000681605152207939,1,1
